                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.86275,                 1.2565,                 1.3451,                0.72537,                0.73226,                0.76623,                0.57483,                0.82037,                 1.0784,                  1.273,               0.003268,               0.003268,               0.003268
                     36,                0.84256,                 1.2182,                 1.3275,                0.72402,                0.72592,                0.75102,                0.56576,                0.80353,                 1.1087,                 1.2696,                0.00307,                0.00307,                0.00307
                     37,                0.85666,                 1.2296,                 1.3394,                0.75447,                0.72595,                0.77438,                0.57658,                0.83805,                 1.1538,                 1.2985,               0.002872,               0.002872,               0.002872
                     38,                0.83623,                 1.2104,                 1.3204,                0.77613,                0.74774,                0.81279,                0.61612,                0.80156,                 1.0062,                 1.2622,               0.002674,               0.002674,               0.002674
                     39,                0.83888,                 1.1911,                 1.3224,                0.75074,                0.73257,                  0.795,                0.60099,                0.80156,                 1.0914,                 1.2684,               0.002476,               0.002476,               0.002476
                     40,                0.83325,                 1.1789,                 1.3218,                0.75504,                0.74562,                0.78727,                0.60005,                 0.7775,                  1.099,                 1.2478,               0.002278,               0.002278,               0.002278
                     41,                0.81559,                 1.1511,                 1.3102,                0.78943,                0.73365,                0.81595,                0.62852,                0.77742,                 1.0246,                 1.2489,                0.00208,                0.00208,                0.00208
                     42,                0.80417,                 1.1299,                 1.2971,                0.79633,                0.74096,                0.81997,                0.63334,                0.76735,                0.98203,                 1.2345,               0.001882,               0.001882,               0.001882
                     43,                0.81787,                 1.1508,                 1.3067,                0.79286,                0.76258,                0.83692,                0.65295,                0.74817,                0.97264,                 1.2134,               0.001684,               0.001684,               0.001684
                     44,                0.80892,                 1.1312,                  1.301,                 0.8144,                0.73941,                0.83274,                0.64378,                0.75977,                 0.9769,                  1.229,               0.001486,               0.001486,               0.001486
                     45,                 0.7951,                 1.1058,                 1.2931,                0.81846,                0.76032,                0.84083,                0.65502,                0.74668,                0.93239,                 1.2087,               0.001288,               0.001288,               0.001288
                     46,                0.78976,                 1.0882,                 1.2883,                0.80281,                0.76029,                 0.8439,                0.66006,                 0.7423,                0.91688,                 1.2118,                0.00109,                0.00109,                0.00109
                     47,                0.77388,                 1.0814,                 1.2774,                0.82453,                 0.7531,                0.84848,                0.66887,                0.72974,                0.88386,                 1.1947,               0.000892,               0.000892,               0.000892
                     48,                 0.7661,                  1.066,                 1.2718,                0.83447,                0.76709,                 0.8542,                0.67734,                0.72362,                0.84746,                 1.1935,               0.000694,               0.000694,               0.000694
                     49,                0.76509,                 1.0612,                 1.2765,                0.83013,                0.76777,                0.85845,                 0.6821,                0.71807,                0.84884,                 1.1845,               0.000496,               0.000496,               0.000496
